Algorithm;Iteration;TimeMs;Manhattan;Fitness;BestPathLength
ACO;93;869.02;23;-28.0000;28
ACO;99;921.25;23;-28.0000;28
ACO;105;973.34;23;-28.0000;28
ACO;1;3.03;25;-30.0000;30
ACO;3;8.21;25;-29.0000;29
ACO;31;60.16;25;-29.0000;29
ACO;57;110.23;25;-29.0000;29
ACO;84;161.93;25;-29.0000;29
ACO;101;232.83;25;-29.0000;29
ACO;129;283.03;25;-29.0000;29
ACO;157;334.09;25;-29.0000;29
ACO;184;385.77;25;-29.0000;29
ACO;210;436.34;25;-29.0000;29
ACO;238;487.97;25;-29.0000;29
ACO;267;539.20;25;-29.0000;29
ACO;296;590.77;25;-29.0000;29
ACO;325;642.79;25;-29.0000;29
ACO;354;693.39;25;-29.0000;29
ACO;381;744.70;25;-29.0000;29
ACO;406;796.76;25;-29.0000;29
ACO;429;856.03;25;-29.0000;29
ACO;443;907.55;25;-29.0000;29
ACO;470;959.14;25;-29.0000;29
ACO;1;5.78;48;-58.0000;58
ACO;2;11.28;48;-51.0000;51
ACO;17;62.16;48;-51.0000;51
ACO;33;112.77;48;-51.0000;51
ACO;49;163.36;48;-51.0000;51
ACO;66;215.84;48;-51.0000;51
ACO;82;268.65;48;-51.0000;51
ACO;98;319.79;48;-51.0000;51
ACO;113;370.67;48;-51.0000;51
ACO;131;422.30;48;-51.0000;51
ACO;148;474.32;48;-51.0000;51
ACO;162;524.46;48;-51.0000;51
ACO;168;585.36;48;-51.0000;51
ACO;185;637.75;48;-51.0000;51
ACO;202;690.15;48;-51.0000;51
ACO;218;740.22;48;-51.0000;51
ACO;234;790.99;48;-51.0000;51
ACO;250;841.69;48;-51.0000;51
ACO;266;893.88;48;-51.0000;51
ACO;280;943.89;48;-51.0000;51
ACO;297;995.70;48;-51.0000;51
ACO;1;9.40;37;-43.0000;43
ACO;3;22.16;37;-42.0000;42
ACO;4;28.25;37;-41.0000;41
ACO;15;81.08;37;-41.0000;41
ACO;28;131.80;37;-41.0000;41
ACO;40;182.17;37;-41.0000;41
ACO;52;232.47;37;-41.0000;41
ACO;56;285.37;37;-41.0000;41
ACO;61;337.24;37;-41.0000;41
ACO;66;388.04;37;-41.0000;41
ACO;70;440.33;37;-41.0000;41
ACO;75;497.41;37;-41.0000;41
ACO;80;557.94;37;-41.0000;41
ACO;84;617.52;37;-41.0000;41
ACO;88;677.82;37;-41.0000;41
ACO;92;728.94;37;-41.0000;41
ACO;104;782.41;37;-41.0000;41
ACO;116;832.55;37;-41.0000;41
ACO;129;886.18;37;-41.0000;41
ACO;142;939.51;37;-41.0000;41
ACO;155;993.87;37;-41.0000;41
ACO;1;9.78;63;-82.0000;82
ACO;2;19.62;63;-77.0000;77
ACO;5;46.76;63;-72.0000;72
ACO;8;73.00;63;-69.0000;69
ACO;9;82.33;63;-68.0000;68
ACO;15;134.23;63;-68.0000;68
ACO;21;185.91;63;-67.0000;67
ACO;27;237.28;63;-67.0000;67
ACO;28;289.82;63;-67.0000;67
ACO;35;346.69;63;-67.0000;67
ACO;42;404.08;63;-67.0000;67
ACO;49;461.62;63;-67.0000;67
ACO;56;519.42;63;-67.0000;67
ACO;62;569.74;63;-67.0000;67
ACO;68;620.54;63;-67.0000;67
ACO;75;678.54;63;-67.0000;67
ACO;81;733.41;63;-67.0000;67
ACO;87;786.02;63;-67.0000;67
ACO;93;838.03;63;-67.0000;67
